Date,Open,High,Low,Close,Adj Close,Volume
2018-05-14,101.940002,103.139999,101.839996,102.669998,102.054298,2567900
2018-05-15,101.449997,101.839996,99.860001,100.239998,99.638878,2604900
2018-05-16,100.220001,101.199997,100.089996,100.699997,100.096115,1390800
2018-05-17,100.699997,101.260002,100.379997,100.779999,100.175636,1442900
2018-05-18,100.650002,101.510002,100.349998,101.250000,100.642822,1754000
2018-05-21,101.720001,102.860001,101.629997,102.239998,101.626877,2165600
2018-05-22,102.330002,102.480003,101.300003,101.410004,100.801865,1366900
2018-05-23,101.160004,102.349998,101.120003,102.320000,101.706406,2054300
2018-05-24,102.440002,103.129997,101.879997,102.290001,101.676582,1309900
2018-05-25,102.349998,103.019997,101.839996,102.129997,101.517540,1223400
2018-05-29,101.120003,101.440002,99.620003,100.550003,99.947021,2875500
2018-05-30,101.029999,101.680000,100.790001,101.250000,100.642822,1494800
2018-05-31,101.309998,101.309998,99.260002,99.279999,98.684631,2575800
2018-06-01,100.099998,100.919998,99.800003,100.589996,99.986763,2200600
2018-06-04,100.989998,102.269997,100.839996,101.870003,101.259109,2218000
2018-06-05,102.019997,102.699997,101.650002,102.089996,101.477783,1962700
2018-06-06,102.199997,102.879997,101.690002,102.800003,102.183525,2751400
2018-06-07,103.029999,103.320000,102.120003,102.500000,101.885315,2229500
2018-06-08,102.760002,103.199997,102.489998,103.000000,102.382324,1890700
2018-06-11,103.029999,104.000000,102.879997,103.239998,102.620880,2062200
2018-06-12,103.440002,104.129997,102.930000,103.160004,102.541374,2768000
2018-06-13,103.230003,103.580002,102.540001,102.620003,102.004608,2068200
2018-06-14,103.000000,103.410004,102.309998,102.639999,102.024483,2631800
2018-06-15,102.050003,103.070000,100.629997,102.309998,101.696465,4509500
2018-06-18,101.570000,101.849998,100.699997,101.269997,100.662697,1645300
2018-06-19,100.440002,100.809998,99.610001,100.029999,99.430145,2738300
2018-06-20,100.269997,100.620003,98.919998,99.139999,98.545464,2386800
2018-06-21,99.199997,99.430000,97.680000,97.910004,97.322853,2809200
2018-06-22,98.760002,99.949997,98.230003,99.300003,98.704514,2819600
2018-06-25,99.080002,99.080002,98.029999,98.860001,98.267159,2856200
2018-06-26,99.089996,99.550003,98.599998,99.120003,98.525589,2336900
2018-06-27,99.510002,100.800003,98.150002,98.150002,97.561409,2745500
2018-06-28,97.970001,98.940002,97.089996,98.620003,98.188660,2013800
2018-06-29,98.830002,99.650002,98.639999,98.680000,98.248390,2352000
2018-07-02,98.180000,98.260002,97.400002,98.129997,97.700798,2158800
2018-07-03,98.660004,99.330002,98.209999,98.470001,98.039314,1244000
2018-07-05,99.080002,99.449997,98.250000,98.860001,98.427612,2483000
2018-07-06,99.000000,99.489998,98.870003,99.330002,98.895554,1903600
2018-07-09,99.599998,99.919998,99.040001,99.500000,99.064812,3205700
2018-07-10,99.699997,100.480003,99.489998,100.160004,99.721916,1761500
2018-07-11,99.330002,99.610001,98.500000,98.570000,98.138870,1834000
2018-07-12,99.320000,100.279999,99.089996,99.620003,99.184280,2356400
2018-07-13,99.870003,100.080002,98.489998,99.199997,98.766113,2104200
2018-07-16,99.080002,99.419998,98.029999,98.169998,97.740623,1953900
2018-07-17,98.209999,99.849998,97.910004,99.580002,99.144463,4108900
2018-07-18,99.650002,99.900002,98.500000,98.779999,98.347946,3189000
2018-07-19,106.000000,106.080002,102.709999,103.199997,102.748619,5937100
2018-07-20,102.570000,103.000000,101.120003,101.290001,100.846985,3722800
2018-07-23,101.400002,103.430000,101.010002,103.139999,102.688889,3494000
2018-07-24,103.989998,104.209999,102.879997,103.550003,103.097099,3320400
2018-07-25,103.540001,104.010002,102.830002,103.540001,103.087135,3153000
2018-07-26,103.870003,104.419998,103.379997,103.790001,103.336044,2470200
2018-07-27,103.860001,104.040001,102.660004,102.750000,102.300591,2401900
2018-07-30,102.750000,103.010002,101.599998,101.809998,101.364708,1744900
2018-07-31,102.320000,103.110001,101.800003,102.580002,102.131340,3611100
2018-08-01,102.599998,102.980003,101.830002,102.000000,101.553871,2150900
2018-08-02,101.699997,101.849998,100.730003,101.449997,101.006279,2414800
2018-08-03,101.459999,101.599998,100.879997,101.370003,100.926628,2224200
2018-08-06,101.040001,102.449997,100.949997,102.309998,101.862518,2503200
2018-08-07,102.459999,102.610001,101.949997,102.260002,101.812737,2162900
2018-08-08,102.139999,102.290001,101.589996,101.949997,101.504089,1376600
2018-08-09,102.169998,102.190002,101.629997,101.709999,101.265144,1279700
2018-08-10,101.410004,101.410004,99.839996,100.330002,99.891182,1763700
2018-08-13,100.230003,100.739998,99.050003,99.860001,99.423233,2216400
2018-08-14,99.959999,101.089996,99.849998,100.790001,100.349167,1854500
2018-08-15,100.199997,100.480003,99.510002,100.089996,99.652222,1777700
2018-08-16,100.519997,101.180000,100.120003,100.480003,100.040520,1579700
2018-08-17,100.610001,101.139999,100.400002,100.709999,100.269516,3012800
2018-08-20,100.790001,101.099998,100.519997,100.580002,100.140083,1214800
2018-08-21,101.089996,101.349998,100.449997,100.610001,100.169952,1907900
2018-08-22,100.540001,100.870003,99.849998,100.690002,100.249603,1278100
2018-08-23,100.769997,100.809998,99.699997,99.750000,99.313713,1630800
2018-08-24,99.940002,100.410004,99.809998,100.150002,99.711960,3335200
2018-08-27,100.540001,102.750000,100.540001,102.459999,102.011856,2560200
2018-08-28,102.699997,102.930000,102.300003,102.699997,102.250809,1609600
2018-08-29,102.809998,103.820000,102.500000,103.660004,103.206612,1992400
2018-08-30,102.959999,103.540001,102.629997,103.010002,102.559456,2002600
2018-08-31,102.940002,103.680000,102.690002,103.540001,103.087135,2903600
2018-09-04,103.660004,103.989998,102.750000,103.550003,103.097099,2241000
2018-09-05,103.400002,104.019997,102.809998,104.010002,103.555084,1909500
2018-09-06,104.010002,104.839996,103.889999,104.599998,104.142502,1809600
2018-09-07,104.489998,104.879997,104.260002,104.660004,104.202232,1506100
2018-09-10,105.019997,105.650002,104.849998,105.129997,104.670181,2076300
2018-09-11,105.169998,105.449997,104.339996,105.250000,104.789658,1693200
2018-09-12,105.550003,105.870003,105.239998,105.790001,105.327293,2656800
2018-09-13,105.930000,107.540001,105.900002,107.419998,106.950157,2228200
2018-09-14,107.430000,107.769997,106.709999,106.870003,106.402573,1364100
2018-09-17,106.650002,106.650002,105.660004,105.970001,105.506508,2074900
2018-09-18,106.239998,106.820000,105.959999,106.760002,106.293053,1857200
2018-09-19,107.000000,108.000000,106.779999,107.510002,107.039772,2057500
2018-09-20,108.230003,108.230003,107.419998,107.970001,107.497765,1797000
2018-09-21,108.089996,108.589996,108.019997,108.080002,107.607285,4411000
2018-09-24,108.160004,108.339996,107.330002,107.830002,107.358376,1959500
2018-09-25,107.949997,108.209999,107.620003,108.019997,107.547531,1963400
2018-09-26,108.169998,109.320000,108.000000,108.900002,108.423691,2003600
2018-09-27,108.849998,109.230003,107.940002,108.180000,107.865326,2058900
2018-09-28,108.180000,108.839996,108.089996,108.660004,108.343925,1952500
2018-10-01,109.180000,109.930000,108.980003,109.290001,108.972092,2003100
2018-10-02,109.339996,109.410004,108.790001,108.959999,108.643051,1729300
2018-10-03,109.550003,110.129997,108.379997,108.529999,108.214310,2399700
