Date,Open,High,Low,Close,Adj Close,Volume
2018-05-14,82.599998,83.320000,82.500000,83.070000,81.197861,4739700
2018-05-15,82.720001,82.940002,81.830002,82.209999,80.357246,3662700
2018-05-16,81.800003,81.949997,80.959999,81.180000,79.897141,3614500
2018-05-17,81.040001,81.839996,81.029999,81.660004,80.369553,2808400
2018-05-18,81.489998,82.290001,81.489998,82.070000,80.773071,4002300
2018-05-21,82.290001,82.540001,81.669998,81.830002,80.536865,2505900
2018-05-22,82.139999,82.889999,81.809998,82.220001,80.920708,2620700
2018-05-23,81.709999,82.919998,81.610001,82.680000,81.373444,2421800
2018-05-24,82.709999,82.790001,82.099998,82.709999,81.402954,2481800
2018-05-25,82.790001,83.470001,82.589996,82.769997,81.462006,2338100
2018-05-29,82.110001,82.620003,81.650002,82.440002,81.137222,3459300
2018-05-30,82.919998,84.019997,82.910004,83.860001,82.534782,3475400
2018-05-31,83.879997,85.110001,83.680000,85.040001,83.696136,9526400
2018-06-01,85.199997,85.680000,84.559998,84.849998,83.509140,4057700
2018-06-04,84.650002,85.519997,84.360001,85.070000,83.725670,4263100
2018-06-05,85.250000,85.699997,84.540001,84.820000,83.479614,3667600
2018-06-06,84.879997,85.930000,84.660004,85.930000,84.572083,2720100
2018-06-07,86.199997,86.320000,85.320000,85.879997,84.522865,3123600
2018-06-08,85.830002,86.419998,85.430000,86.080002,84.719704,3172300
2018-06-11,86.309998,86.779999,85.809998,85.860001,84.503181,3506900
2018-06-12,85.760002,86.019997,85.449997,85.489998,84.139023,3016900
2018-06-13,85.760002,86.379997,85.599998,85.720001,84.365395,3052100
2018-06-14,85.669998,86.459999,85.169998,86.349998,84.985435,3115100
2018-06-15,86.129997,87.269997,86.099998,86.879997,85.507057,5575200
2018-06-18,85.980003,86.150002,85.010002,86.110001,84.749229,2903900
2018-06-19,85.889999,86.870003,85.669998,86.820000,85.448006,3044500
2018-06-20,86.739998,87.160004,86.199997,86.279999,84.916550,4675500
2018-06-21,85.820000,86.279999,85.190002,86.070000,84.709862,2856400
2018-06-22,86.019997,86.400002,85.809998,85.919998,84.562233,3769500
2018-06-25,86.000000,86.610001,85.120003,85.769997,84.414597,3414100
2018-06-26,85.540001,86.000000,84.959999,85.110001,83.765038,2840600
2018-06-27,84.910004,85.599998,84.639999,84.669998,83.331978,3005400
2018-06-28,84.849998,85.959999,84.809998,85.489998,84.139023,2564600
2018-06-29,85.839996,86.099998,85.129997,85.330002,83.981552,2964000
2018-07-02,85.059998,85.930000,84.709999,85.860001,84.503181,2347000
2018-07-03,85.809998,87.019997,85.809998,86.510002,85.142906,2163500
2018-07-05,86.910004,87.190002,86.129997,86.559998,85.192116,2675500
2018-07-06,86.830002,87.709999,86.820000,87.389999,86.009003,2290500
2018-07-09,87.599998,88.330002,87.519997,87.870003,86.481422,2718300
2018-07-10,88.080002,88.230003,87.669998,88.050003,86.658577,2227200
2018-07-11,87.769997,88.070000,87.199997,87.559998,86.176308,2449500
2018-07-12,88.099998,88.989998,87.919998,88.910004,87.504990,2604500
2018-07-13,88.830002,89.870003,88.540001,89.709999,88.292343,3335000
2018-07-16,89.629997,89.839996,88.839996,89.070000,87.662453,3175200
2018-07-17,89.360001,89.970001,89.339996,89.570000,88.154556,2179400
2018-07-18,89.599998,90.129997,89.070000,90.029999,88.607285,3021400
2018-07-19,89.830002,89.980003,88.870003,89.430000,88.016769,3171000
2018-07-20,89.019997,89.370003,88.260002,88.470001,87.071930,3829800
2018-07-23,88.300003,89.160004,88.169998,88.879997,87.475449,3145300
2018-07-24,91.059998,93.760002,90.000000,93.349998,91.874817,9910000
2018-07-25,93.160004,96.650002,93.029999,96.430000,94.906151,8476800
2018-07-26,96.639999,96.959999,94.830002,95.180000,93.675903,4826100
2018-07-27,95.650002,96.959999,95.019997,96.599998,95.073456,3975500
2018-07-30,96.379997,98.120003,96.250000,98.019997,96.471016,5356000
2018-07-31,98.250000,99.199997,97.529999,98.809998,97.248535,4957800
2018-08-01,98.739998,99.349998,98.440002,98.699997,97.140266,4971800
2018-08-02,97.949997,100.389999,97.839996,99.470001,97.898109,4321000
2018-08-03,99.180000,100.690002,98.879997,100.580002,98.990570,4572100
2018-08-06,100.400002,102.589996,100.220001,102.000000,100.388130,5090900
2018-08-07,101.790001,103.809998,101.680000,101.940002,100.329079,5095100
2018-08-08,101.849998,102.669998,101.430000,102.269997,100.653854,3901600
2018-08-09,102.059998,102.720001,101.919998,102.190002,100.575127,3298100
2018-08-10,102.150002,103.190002,101.989998,102.250000,100.634178,2783800
2018-08-13,102.449997,102.680000,102.120003,102.440002,100.821175,2816400
2018-08-14,101.769997,102.839996,101.269997,102.440002,101.377846,3283900
2018-08-15,102.279999,103.440002,102.080002,103.330002,102.258614,3143200
2018-08-16,103.250000,104.940002,103.250000,104.360001,103.277931,4427200
2018-08-17,104.430000,105.919998,103.959999,105.550003,104.455597,3824300
2018-08-20,105.580002,106.379997,105.580002,105.820000,104.722794,2765500
2018-08-21,106.019997,106.129997,104.720001,105.070000,103.980576,2775500
2018-08-22,104.800003,105.629997,104.150002,105.029999,103.940987,1964400
2018-08-23,104.989998,105.250000,104.389999,104.820000,103.733162,2043400
2018-08-24,105.570000,106.040001,104.529999,105.769997,104.673309,3089900
2018-08-27,106.150002,106.489998,104.940002,105.110001,104.020157,2452500
2018-08-28,105.029999,105.589996,104.589996,105.180000,104.089432,2516800
2018-08-29,104.400002,105.589996,104.279999,105.330002,104.237877,2949500
2018-08-30,105.180000,105.739998,104.940002,105.480003,104.386322,2928600
2018-08-31,105.139999,105.860001,104.470001,105.650002,104.554558,3278900
2018-09-04,105.309998,105.699997,104.379997,104.620003,103.535240,3107000
2018-09-05,104.849998,106.110001,104.699997,105.720001,104.623833,3366600
2018-09-06,105.669998,105.750000,103.660004,105.370003,104.277466,3180700
2018-09-07,105.150002,107.239998,104.800003,107.029999,105.920250,3822900
