Date,Open,High,Low,Close,Adj Close,Volume
2018-05-14,142.809998,143.259995,140.500000,140.710007,137.804916,2919500
2018-05-15,140.240005,141.350006,139.369995,140.289993,137.393555,2911300
2018-05-16,140.509995,142.240005,140.509995,141.360001,138.441498,2251000
2018-05-17,141.360001,143.350006,141.059998,142.490005,139.548157,2742500
2018-05-18,142.309998,144.449997,142.000000,143.800003,140.831131,2764000
2018-05-21,144.410004,146.729996,144.320007,145.080002,142.084671,2673800
2018-05-22,145.080002,146.389999,142.800003,142.919998,139.969269,2459000
2018-05-23,141.860001,144.610001,141.199997,144.270004,141.291397,3413500
2018-05-24,144.250000,146.300003,143.559998,145.660004,142.652695,3562900
2018-05-25,145.199997,145.399994,144.199997,145.059998,142.065079,2200000
2018-05-29,143.679993,144.559998,142.440002,144.050003,141.075943,4091500
2018-05-30,144.399994,147.070007,144.270004,146.139999,143.851791,3925700
2018-05-31,146.169998,146.809998,142.460007,142.759995,140.524704,4408500
2018-06-01,144.699997,148.029999,144.679993,146.919998,144.619583,4504200
2018-06-04,147.789993,147.949997,142.220001,142.960007,140.721588,6466600
2018-06-05,142.460007,143.279999,140.160004,142.440002,140.209732,4724500
2018-06-06,143.570007,143.660004,141.339996,142.360001,140.130981,3783500
2018-06-07,142.440002,142.690002,141.380005,142.199997,139.973480,3654200
2018-06-08,142.360001,144.850006,142.130005,144.520004,142.257156,4804800
2018-06-11,144.330002,147.190002,144.089996,146.110001,143.822266,3201600
2018-06-12,146.830002,147.789993,145.580002,146.100006,143.812424,2962000
2018-06-13,146.089996,147.300003,143.979996,144.279999,142.020920,3007500
2018-06-14,145.270004,145.770004,143.919998,144.940002,142.670578,2832600
2018-06-15,145.410004,148.330002,144.600006,147.020004,144.718002,7915700
2018-06-18,145.699997,148.270004,145.149994,146.550003,144.255386,3222600
2018-06-19,144.729996,145.070007,142.410004,142.809998,140.573914,4280800
2018-06-20,143.330002,143.990005,142.440002,143.360001,141.115311,3767900
2018-06-21,143.580002,143.979996,141.649994,143.100006,140.859406,3276600
2018-06-22,144.000000,144.919998,143.580002,143.949997,141.696075,3066300
2018-06-25,143.179993,143.830002,140.229996,141.229996,139.018661,3589900
2018-06-26,142.240005,142.259995,140.830002,141.259995,139.048203,2663100
2018-06-27,141.789993,143.270004,139.759995,139.809998,137.620895,3085400
2018-06-28,139.630005,141.330002,138.869995,140.710007,138.506821,3265100
2018-06-29,141.509995,143.320007,141.479996,141.679993,139.461609,3629400
2018-07-02,140.960007,143.289993,140.479996,143.070007,140.829865,2569400
2018-07-03,143.619995,143.800003,140.899994,141.229996,139.018661,1311000
2018-07-05,142.080002,142.479996,141.000000,142.250000,140.022690,2889100
2018-07-06,142.690002,144.070007,142.130005,143.059998,140.819992,3335800
2018-07-09,143.990005,145.389999,143.009995,145.050003,142.778870,4379600
2018-07-10,145.000000,145.630005,142.929993,144.110001,141.853577,3085000
